Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Tata Sampann,"100% Premium Pistachios Roasted & Salted - Premium Quality Pista, Rich In Protein, Phosphorus, & Dietary Fibre, Premium Nuts & Dry Fruits",200 g - Pouch,₹320.85,₹345,Get it for ₹304.81!,₹24 OFF
Tata Simply Better,"Pure & Unrefined Cold Pressed Groundnut Oil - Naturally, Cholesterol Free, With A Real Rich Aroma & Flavour",1 L,₹400,₹500,Get it for ₹380!,20% OFF
BB Royal,Organic - Channa Dal Unpolished,2 kg,₹234,₹299,No Product Sale Price,22% OFF
BB Super Saver,Moong Dal/Hesaru Bele,500 g,₹60.4,₹90,Har Din Sasta!,33% OFF
Lion,Dates/Kharjura,500 g - Buy 1 Get 1 Free,₹172,No Product Price,No Product Sale Price,No Discount
Aashirvaad,Bansi Rava - Made From Durum Wheat,1 kg,₹62.04,₹66,Har Din Sasta!,6% OFF
BB Royal,Walnut/Akhrot - Kernels,500 g - Vacuum Packed,₹731,₹1000,No Product Sale Price,27% OFF
24 Mantra Organic,Sonamasuri Brown Rice,2x5 kg - Multipack,₹940.5,₹1100,No Product Sale Price,15% OFF
Gowardhan,Pure Cow Ghee,2 x 1 L - Multipack,₹1320,₹1498,No Product Sale Price,12% OFF
24 Mantra Organic,Tur/Arhar Dal,2x1 kg - Multipack,₹561,₹660,No Product Sale Price,15% OFF
BB Royal,"Almond/Badam - Californian, Giri Bold",1 kg - Pouch,₹854,₹1500,No Product Sale Price,43% OFF
Tata Sampann,Chilli Powder/Menasina Pudi,500 g,₹242.25,₹285,No Product Sale Price,15% OFF
BB Royal,"Organic - Green Moong,Hesaru Kaalu - Whole",500 g,₹85.54,₹91,Har Din Sasta!,6% OFF
24 Mantra Organic,Sugar,3x1 kg - Multipack,₹347.56,₹435,No Product Sale Price,20% OFF
Saffola,Gold - Pro Healthy Lifestyle Edible Oil,3X1 L - Multipack,₹447,₹540,No Product Sale Price,17% OFF
