Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Wagh Bakri,Spiced Tea - Blend Of 7 Refreshing Spices,250 g,₹160,No Product Price,Get it for ₹152!,No Discount
Paper Boat,Paper Boat Aamras Mango Fruit Juice (Pack of 4),150 ml - Multipack,₹69.92,₹80,No Product Sale Price,13% OFF
Tetley,"Green Tea - Lemon & Honey, Rich In Antioxidants",140 g - (100 Bags x 1.4 g each),₹475,₹625,No Product Sale Price,24% OFF
Paper Boat,"Apple Juice - Rich In Vitamin D, No Added Preservatives",150 ml - (Pack of 6),₹120,No Product Price,No Product Sale Price,No Discount
Himalayan,Natural Mineral Water,12x1 L - Multipack,₹756,₹840,No Product Sale Price,₹84 OFF
Nescafe,"Sunrise Instant Coffee Powder - Chicory Mix, Extra Strong",1 kg - Pouch,₹925,No Product Price,No Product Sale Price,No Discount
Fresho,Tender Coconut Water With Pulpy Malai,24x200 ml - Multipack,₹960,₹1440,No Product Sale Price,33% OFF
Hershey's,Chocolate Syrup,3x200 g - Multipack,₹276,₹300,No Product Sale Price,₹24 OFF
Bisleri,Limonata - Limey Minty Cooler,2x600 ml - Multipack,₹80,No Product Price,No Product Sale Price,No Discount
Tata Tea Agni,Dust Tea,500 g,₹140,No Product Price,No Product Sale Price,No Discount
Yakult,Probiotic Health Drink - Light,4x65 ml - Multipack,₹400,No Product Price,No Product Sale Price,No Discount
iD,Filter Coffee Decoction,2 x 150 ml - Multipack,₹221.25,₹250,No Product Sale Price,12% OFF
Nescafe,"Classic Cold Coffee Kit - Rich & Aromatic, Refreshing, Boosts Energy",100 g - (Get Free Frappe Mug Inside),No Product Price,No Product Price,No Product Sale Price,No Discount
Sprite,SOFT DRINK,250 ml,No Product Price,No Product Price,No Product Sale Price,No Discount
Dabur,Hommade Lemoneez - Goodness Of 33 Lemons,2x250 ml - Multipack,₹155.2,₹160,No Product Sale Price,₹5 OFF
Paper Boat,"Coconut Water - Refreshing Flavour, Vital Electrolytes",12x200 ml - Multipack,₹484.5,₹600,No Product Sale Price,19% OFF
Tropicana,"Fruit Juice - Delight, Mango",12x200 ml - Multipack,₹240,No Product Price,No Product Sale Price,No Discount
Bisleri,"Club Soda - Extra Power, Refreshing Drink",6 x 750 ml - (Multipack),₹120,No Product Price,No Product Sale Price,No Discount
Himalayan,Natural Mineral Water,1 L - (Pack Of 12),₹756,₹840,No Product Sale Price,₹84 OFF
LEVISTA,Filter Coffee With Chicory,500 g - Pouch,₹255,No Product Price,No Product Sale Price,No Discount
iD,"Instant Filter Coffee Liquid - Strong, Chicory Blend, No Preservatives",400 ml - ( 8 Units x Pack of 5(10 ml Each)),₹240,No Product Price,No Product Sale Price,No Discount
Wagh Bakri,Premium Leaf Tea,500 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Girnar,Green Tea - Detox / Desi Kahwa,90.7 g - (36 Bags x 2.5 g each),₹330,No Product Price,No Product Sale Price,No Discount
Nescafe,Coffee - Sunrise - Premium,500 g - Pouch,No Product Price,No Product Price,No Product Sale Price,No Discount
Paperboat Swing,"Zesty Pomegranate Juice - Enriched With Vitamin D, No GMOs",3x600 ml - Multipack,₹114,₹120,No Product Sale Price,₹6 OFF
Tetley,"Black Tea - Original, Classic Assam Blend, Staple-Free, Environment Friendly Bags",170 g - (100 bags x 1.7 g each),₹168,₹210,No Product Sale Price,20% OFF
MTR,Drink Mix - Badam,100 g - Pouch,₹80,No Product Price,No Product Sale Price,No Discount
Horlicks,Women's Horlicks Health & Nutrition Drink - Caramel Flavor,2 x 400g - Multipack,₹660.3,₹710,No Product Sale Price,₹50 OFF
Lipton,Green Tea  - Pure & Light,2x25 pcs - Multipack,₹303.6,₹330,No Product Sale Price,₹26 OFF
Horlicks,Lite Health & Nutrition Drink - Badam Flavour,450 g - Carton,₹321,₹349,No Product Sale Price,₹28 OFF
Real,Fruit Power - Coconut Water,3 x 1 L - Multipack,₹275.4,₹510,No Product Sale Price,46% OFF
BRU,Instant Pure Coffee,100 g - Jar,₹331.5,₹390,No Product Sale Price,15% OFF
Tata Tea Premium,Desh Ki Chai,250 g,No Product Price,No Product Price,No Product Sale Price,No Discount
Horlicks,Health & Nutrition Drink - Classic Malt,2 x 450 g - Multipack,₹642,₹698,No Product Sale Price,₹56 OFF
WaghBakri,Spiced Tea,500 g,₹295,₹320,No Product Sale Price,₹25 OFF
Lipton,"Yellow Label Tea - Finest Blend, Rich, Aromatic",250 g,₹300,No Product Price,No Product Sale Price,No Discount
Bindu,Fizz Jeera Masala Soda - Refreshing,250 ml,₹20,No Product Price,No Product Sale Price,No Discount
Girnar,Instant Tea Bag - Premix With Masala,10 pcs,₹150,No Product Price,No Product Sale Price,No Discount
Tata Tea Chakra Gold,Premium Tea - Strong Flavour With Long Lasting Taste,500 g,₹369,₹410,No Product Sale Price,₹41 OFF
Cothas Coffee,Coffee Powder Cothas Blend,500 g - Pouch,₹270,No Product Price,No Product Sale Price,No Discount
