Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
BB Home Earth,"Dining Bowl/Katori Set, Hand- Painted Ceramic - Tender Green Blue",150 ml - (Set of 4),₹199,₹299,No Product Sale Price,33% OFF
Signoraware,Executive Borosilicate Glass Lunch Box Round,3 pcs,₹999,₹1099,Get it for ₹949.05!,₹100 OFF
BB Home Earth,"All-Purpose Bowl/Katori With Handle, Hand-crafted Ceramic - Black",300 ml,₹199,₹299,Get it for ₹189.05!,33% OFF
BB Home Earth,"Coffee/ Milk Mug Set, Hand-crafted Ceramic- Night Blue",470 ml - (Set of 2),₹249,₹329,Get it for ₹236.55!,24% OFF
BB Home Earth,"Storage Jar/Handi With Lid For Pickle/Spices, Hand Painted Ceramic - Classic Floral Red Yellow",850 ml,₹249,₹349,Get it for ₹236.55!,29% OFF
Halonix,"LED Bulb - Astron Plus 10W With B22 Base, Cool Day Light, White",1 pc,₹75,₹179,Get it for ₹71.25!,58% OFF
Trm,"Pure Iron Cookware Set Combo, 1 Pc Tawa (9"") 1 Pc Deep Fry Kadai (7"") & 1 Pc Tadka Pan (5"") Nonstick Cookware",Set of 3,₹699,₹1495,Get it for ₹664.05!,53% OFF
BB Home Earth,"Dining Bowl/Katori Set, Hand Painted Ceramic, Polychromatic Rings",150 ml - (Set of 4),₹199,₹299,Get it for ₹189.05!,33% OFF
Anjali,"Kitchen Utility Set - Knife, Lighter, Peeler, Green, All Purpose",3 pcs,₹149,₹295,Get it for ₹141.55!,49% OFF
Whiskas,"Tasty Mix Wet Cat Food - Adult, 1+ Years, Seafood Cocktail Wakame Seaweed In Gravy",70 g,₹41.4,₹45,No Product Sale Price,8% OFF
BB Home Earth,"Cutlery/ Pen Holder, Hand Painted Ceramic - Abstract Black & White",600 ml,₹179,₹349,Get it for ₹170.05!,49% OFF
BB Home Earth,"Storage Jar/Handi With Lid, For Pickle/ Spices, Hand Painted Ceramic - Abstract Blue Green",700 ml,₹199,₹299,Get it for ₹189.05!,33% OFF
BB Home,"Cirrus Plastic PET Water Bottle - Break Resistant, Leak Proof, Blue",1 L,₹35,₹60,Har Din Sasta!,42% OFF
Eveready,LED Bulb 9W Combo,2 pcs - (Get 2 AA  Batteries Free),₹169,₹300,Har Din Sasta!,44% OFF
BB Home,"Plastic & Stainless Steel Round Adhesive Hook Set - Strong Grip, Max. Load 2.0 kg",3 pcs,₹99,₹179,Get it for ₹94.05!,45% OFF
BB Home Earth,"Tea/ Coffee/ Milk Mug Set, Hand Crafted Ceramic - Sea Green",310 ml,₹109,₹199,Get it for ₹103.55!,45% OFF
Eveready,Eveready Spike Guard - With 2 meter Wire  SG01,1 pc,₹399,₹499,Get it for ₹379.05!,20% OFF
BB Home,"Stainless Steel Hook - Self Adhesive/Stickable, Oval Shape",4 pcs,₹89,₹169,Get it for ₹84.55!,47% OFF
